ORDER_ID,DATE,TIME,MENU_ITEM,MENU_CATEGORY,TEMP,SAUCE,MENU_PRICE,DAY_OF_WEEK,DAY_TYPE,QUANTITY
81243,2023-03-03,LUNCH,PORTERHOUSE,MAIN,M,INCLUDED,98.0,Friday,WEEKDAY,1
81243,2023-03-03,LUNCH,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
82246,2023-03-03,LUNCH,MEDALLIONS,MAIN,MR,NON_P,32.0,Friday,WEEKDAY,2
82246,2023-03-03,LUNCH,MEDALLIONS,MAIN,M,NON_P,32.0,Friday,WEEKDAY,2
82246,2023-03-03,LUNCH,RIBEYE,MAIN,M,BEARNAISE,47.0,Friday,WEEKDAY,2
82246,2023-03-03,LUNCH,RIBEYE,MAIN,M,PEPPER,47.0,Friday,WEEKDAY,2
82246,2023-03-03,LUNCH,FILLET,MAIN,MW,PEPPER,44.0,Friday,WEEKDAY,1
82246,2023-03-03,LUNCH,LUNCH SIRLOIN,MAIN,MR,BEARNAISE,24.0,Friday,WEEKDAY,1
82246,2023-03-03,LUNCH,LAMBKIDNEY,STARTER,Not Applicable,Not Applicable,10.0,Friday,WEEKDAY,1
82246,2023-03-03,LUNCH,NON_P,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
82246,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
83249,2023-03-03,LUNCH,FILLET,MAIN,MR,PEPPER,44.0,Friday,WEEKDAY,4
83249,2023-03-03,LUNCH,FILLET,MAIN,M,GARLIC BUTTER,44.0,Friday,WEEKDAY,4
83249,2023-03-03,LUNCH,FILLET,MAIN,M,PEPPER,44.0,Friday,WEEKDAY,4
83249,2023-03-03,LUNCH,SUPREME CHICKEN,MAIN,NON_P,NON_P,23.0,Friday,WEEKDAY,1
83249,2023-03-03,LUNCH,FILLET,MAIN,MW,PEPPER,44.0,Friday,WEEKDAY,4
83249,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
83249,2023-03-03,LUNCH,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,BEEF TARTARE,STARTER,Not Applicable,Not Applicable,16.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,RIBEYE,MAIN,M,PEPPER,47.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,MEDALLIONS,MAIN,MW,NON_P,32.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,CARROTS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,BROCCOLI,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,GREEN BEANS,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
84252,2023-03-03,LUNCH,NON_P,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
85255,2023-03-03,LUNCH,STEAK SANDUWICH,MAIN,M,INCLUDED,16.0,Friday,WEEKDAY,2
85255,2023-03-03,LUNCH,LUNCH SIRLOIN,MAIN,MW,BEARNAISE,24.0,Friday,WEEKDAY,1
85255,2023-03-03,LUNCH,STEAK SANDUWICH,MAIN,MR,INCLUDED,16.0,Friday,WEEKDAY,2
85255,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
86258,2023-03-03,LUNCH,SIRLOIN,MAIN,M,GARLIC BUTTER,42.0,Friday,WEEKDAY,1
86258,2023-03-03,LUNCH,RIBEYE,MAIN,MR,BEARNAISE,47.0,Friday,WEEKDAY,1
86258,2023-03-03,LUNCH,MASH,EXTRA_SIDE,Not Applicable,Not Applicable,4.0,Friday,WEEKDAY,1
86258,2023-03-03,LUNCH,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
86258,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
87261,2023-03-03,LUNCH,RIBEYE,MAIN,MR,PEPPER,47.0,Friday,WEEKDAY,1
87261,2023-03-03,LUNCH,STEAK SANDUWICH,MAIN,M,INCLUDED,16.0,Friday,WEEKDAY,1
87261,2023-03-03,LUNCH,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
87261,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
88264,2023-03-03,LUNCH,STEAK SANDUWICH,MAIN,MR,INCLUDED,16.0,Friday,WEEKDAY,2
88264,2023-03-03,LUNCH,STEAK SANDUWICH,MAIN,M,INCLUDED,16.0,Friday,WEEKDAY,2
88264,2023-03-03,LUNCH,LUNCH SIRLOIN,MAIN,MR,BEARNAISE,24.0,Friday,WEEKDAY,1
88264,2023-03-03,LUNCH,BURGER,MAIN,NON_P,NON_P,18.0,Friday,WEEKDAY,1
88264,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
89267,2023-03-03,LUNCH,SUPREME CHICKEN,MAIN,NON_P,NON_P,23.0,Friday,WEEKDAY,1
89267,2023-03-03,LUNCH,MEDALLIONS,MAIN,MW,NON_P,32.0,Friday,WEEKDAY,1
89267,2023-03-03,LUNCH,CARROTS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
89267,2023-03-03,LUNCH,GREEN BEANS,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
89267,2023-03-03,LUNCH,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
89267,2023-03-03,LUNCH,NON_P,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
90270,2023-03-03,LUNCH,RIBEYE,MAIN,M,PEPPER,47.0,Friday,WEEKDAY,1
90270,2023-03-03,LUNCH,SPINACH,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
90270,2023-03-03,LUNCH,POTATO GRATIN,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
91273,2023-03-03,LUNCH,STEAK SANDUWICH,MAIN,MR,INCLUDED,16.0,Friday,WEEKDAY,1
91273,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
92276,2023-03-03,LUNCH,COD,MAIN,NON_P,NON_P,19.0,Friday,WEEKDAY,1
92276,2023-03-03,LUNCH,LUNCH SIRLOIN,MAIN,M,BEARNAISE,24.0,Friday,WEEKDAY,1
92276,2023-03-03,LUNCH,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
92276,2023-03-03,LUNCH,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
92276,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
93279,2023-03-03,LUNCH,LUNCH SIRLOIN,MAIN,MR,PEPPER,24.0,Friday,WEEKDAY,1
93279,2023-03-03,LUNCH,SOUP,STARTER,Not Applicable,Not Applicable,8.0,Friday,WEEKDAY,1
93279,2023-03-03,LUNCH,SALAD,EXTRA_SIDE,Not Applicable,Not Applicable,5.0,Friday,WEEKDAY,1
93279,2023-03-03,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
94282,2023-03-03,LUNCH,PORTERHOUSE,MAIN,MR,INCLUDED,98.0,Friday,WEEKDAY,1
94282,2023-03-03,LUNCH,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
95285,2023-03-03,DINNER,RIBEYE ON BONE,MAIN,MR,PEPPER,60.0,Friday,WEEKDAY,1
95285,2023-03-03,DINNER,BACON,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
95285,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
95285,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
96288,2023-03-03,DINNER,CHATEAUBRIAND,MAIN,M,INCLUDED,98.0,Friday,WEEKDAY,1
96288,2023-03-03,DINNER,MACKEREL,STARTER,Not Applicable,Not Applicable,16.0,Friday,WEEKDAY,1
96288,2023-03-03,DINNER,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
97291,2023-03-03,DINNER,FILLET,MAIN,WD,PEPPER,44.0,Friday,WEEKDAY,2
97291,2023-03-03,DINNER,MEDALLIONS,MAIN,WD,NON_P,32.0,Friday,WEEKDAY,1
97291,2023-03-03,DINNER,RIBEYE,MAIN,M,PEPPER,47.0,Friday,WEEKDAY,1
97291,2023-03-03,DINNER,FILLET,MAIN,MW,NO SAUCE,44.0,Friday,WEEKDAY,2
97291,2023-03-03,DINNER,MUSHROOMS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
97291,2023-03-03,DINNER,BROCCOLI,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
97291,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
97291,2023-03-03,DINNER,NON_P,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
97291,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
98294,2023-03-03,DINNER,RIBEYE,MAIN,MW,PEPPER,47.0,Friday,WEEKDAY,1
98294,2023-03-03,DINNER,SIRLOIN,MAIN,M,PEPPER,42.0,Friday,WEEKDAY,1
98294,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
98294,2023-03-03,DINNER,SALAD,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
99297,2023-03-03,DINNER,RIBEYE,MAIN,M,GARLIC BUTTER,47.0,Friday,WEEKDAY,2
99297,2023-03-03,DINNER,SUPREME CHICKEN,MAIN,NON_P,NON_P,23.0,Friday,WEEKDAY,1
99297,2023-03-03,DINNER,MEDALLIONS,MAIN,MR,NON_P,32.0,Friday,WEEKDAY,2
99297,2023-03-03,DINNER,FILLET,MAIN,MR,NO SAUCE,44.0,Friday,WEEKDAY,2
99297,2023-03-03,DINNER,RIBEYE,MAIN,MR,GARLIC BUTTER,47.0,Friday,WEEKDAY,2
99297,2023-03-03,DINNER,MEDALLIONS,MAIN,MW,NON_P,32.0,Friday,WEEKDAY,2
99297,2023-03-03,DINNER,FILLET,MAIN,MW,PEPPER,44.0,Friday,WEEKDAY,2
99297,2023-03-03,DINNER,CHIPS,EXTRA_SIDE,Not Applicable,Not Applicable,5.0,Friday,WEEKDAY,2
99297,2023-03-03,DINNER,GREEN BEANS,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
99297,2023-03-03,DINNER,BROCCOLI,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
99297,2023-03-03,DINNER,SPINACH,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
99297,2023-03-03,DINNER,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
99297,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,2
99297,2023-03-03,DINNER,SALAD,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
99297,2023-03-03,DINNER,NON_P,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
99297,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
100300,2023-03-03,DINNER,CHATEAUBRIAND,MAIN,R,INCLUDED,98.0,Friday,WEEKDAY,1
100300,2023-03-03,DINNER,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
101303,2023-03-03,DINNER,SIRLOIN ON BONE,MAIN,MR,BEARNAISE,39.0,Friday,WEEKDAY,2
101303,2023-03-03,DINNER,SIRLOIN ON BONE,MAIN,R,BEARNAISE,39.0,Friday,WEEKDAY,2
101303,2023-03-03,DINNER,SIRLOIN,MAIN,M,BEARNAISE,42.0,Friday,WEEKDAY,1
101303,2023-03-03,DINNER,SPINACH,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
101303,2023-03-03,DINNER,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
101303,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
102306,2023-03-03,DINNER,FILLET,MAIN,M,GARLIC BUTTER,44.0,Friday,WEEKDAY,1
102306,2023-03-03,DINNER,RIBEYE,MAIN,M,GARLIC BUTTER,47.0,Friday,WEEKDAY,1
102306,2023-03-03,DINNER,SIRLOIN,MAIN,M,BEARNAISE,42.0,Friday,WEEKDAY,1
102306,2023-03-03,DINNER,PORTERHOUSE,MAIN,MR,INCLUDED,98.0,Friday,WEEKDAY,1
102306,2023-03-03,DINNER,SPINACH,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
102306,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
102306,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
102306,2023-03-03,DINNER,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
103309,2023-03-03,DINNER,FILLET,MAIN,M,PEPPER,44.0,Friday,WEEKDAY,2
103309,2023-03-03,DINNER,FILLET,MAIN,M,NO SAUCE,44.0,Friday,WEEKDAY,2
103309,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
104312,2023-03-03,DINNER,FILLET,MAIN,MR,PEPPER,44.0,Friday,WEEKDAY,1
104312,2023-03-03,DINNER,SALAD,EXTRA_SIDE,Not Applicable,Not Applicable,5.0,Friday,WEEKDAY,1
104312,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
104312,2023-03-03,DINNER,POTATO GRATIN,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
105315,2023-03-03,DINNER,PORTERHOUSE,MAIN,MR,INCLUDED,98.0,Friday,WEEKDAY,1
105315,2023-03-03,DINNER,SALAD,EXTRA_SIDE,Not Applicable,Not Applicable,5.0,Friday,WEEKDAY,1
105315,2023-03-03,DINNER,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
106318,2023-03-03,DINNER,RIBEYE ON BONE,MAIN,MR,GARLIC BUTTER,60.0,Friday,WEEKDAY,1
106318,2023-03-03,DINNER,SIRLOIN,MAIN,MR,BEARNAISE,42.0,Friday,WEEKDAY,1
106318,2023-03-03,DINNER,FILLET,MAIN,MW,PEPPER,44.0,Friday,WEEKDAY,1
106318,2023-03-03,DINNER,SPINACH,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
106318,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
106318,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
107321,2023-03-03,DINNER,PORTERHOUSE,MAIN,MR,INCLUDED,98.0,Friday,WEEKDAY,1
107321,2023-03-03,DINNER,OYSTERS,STARTER,Not Applicable,Not Applicable,18.0,Friday,WEEKDAY,1
107321,2023-03-03,DINNER,FILLET,MAIN,MR,Not Applicable,44.0,Friday,WEEKDAY,1
107321,2023-03-03,DINNER,SOUP,STARTER,Not Applicable,Not Applicable,8.0,Friday,WEEKDAY,1
107321,2023-03-03,DINNER,CARROTS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
107321,2023-03-03,DINNER,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
107321,2023-03-03,DINNER,SALAD,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
108324,2023-03-03,DINNER,RIBEYE ON BONE,MAIN,MW,PEPPER,60.0,Friday,WEEKDAY,2
108324,2023-03-03,DINNER,RIBEYE ON BONE,MAIN,WD,PEPPER,60.0,Friday,WEEKDAY,2
108324,2023-03-03,DINNER,SALAD,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
108324,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
109327,2023-03-03,DINNER,SIRLOIN ON BONE,MAIN,M,PEPPER,39.0,Friday,WEEKDAY,2
109327,2023-03-03,DINNER,FILLET,MAIN,M,PEPPER,44.0,Friday,WEEKDAY,2
109327,2023-03-03,DINNER,FILLET,MAIN,WD,PEPPER,44.0,Friday,WEEKDAY,2
109327,2023-03-03,DINNER,SIRLOIN ON BONE,MAIN,MR,RED WINE JUS,39.0,Friday,WEEKDAY,2
109327,2023-03-03,DINNER,SPINACH,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Friday,WEEKDAY,1
109327,2023-03-03,DINNER,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Friday,WEEKDAY,1
109327,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
109327,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
110330,2023-03-03,DINNER,COCONUT DAL,MAIN,NON_P,NON_P,19.0,Friday,WEEKDAY,1
110330,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
111333,2023-03-03,DINNER,SIRLOIN,MAIN,M,PEPPER,42.0,Friday,WEEKDAY,1
111333,2023-03-03,DINNER,FILLET,MAIN,M,PEPPER,44.0,Friday,WEEKDAY,2
111333,2023-03-03,DINNER,FILLET,MAIN,WD,PEPPER,44.0,Friday,WEEKDAY,2
111333,2023-03-03,DINNER,SIRLOIN ON BONE,MAIN,MR,PEPPER,39.0,Friday,WEEKDAY,1
111333,2023-03-03,DINNER,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
111333,2023-03-03,DINNER,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
112336,2023-03-03,DINNER,CHATEAUBRIAND,MAIN,MR,INCLUDED,98.0,Friday,WEEKDAY,1
112336,2023-03-03,DINNER,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Friday,WEEKDAY,1
86129,2023-03-04,LUNCH,RIBEYE,MAIN,M,PEPPER,47.0,Saturday,WEEKEND,1
86129,2023-03-04,LUNCH,FILLET,MAIN,M,BEARNAISE,44.0,Saturday,WEEKEND,1
86129,2023-03-04,LUNCH,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
86129,2023-03-04,LUNCH,BACON,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
86129,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
86129,2023-03-04,LUNCH,SALAD,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
88132,2023-03-04,LUNCH,FILLET,MAIN,MW,PEPPER,44.0,Saturday,WEEKEND,1
88132,2023-03-04,LUNCH,SCALLOPS,STARTER,Not Applicable,Not Applicable,18.0,Saturday,WEEKEND,1
88132,2023-03-04,LUNCH,MUSHROOMS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
88132,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
88132,2023-03-04,LUNCH,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
90135,2023-03-04,LUNCH,FILLET,MAIN,MR,PEPPER,44.0,Saturday,WEEKEND,2
90135,2023-03-04,LUNCH,FILLET,MAIN,M,PEPPER,44.0,Saturday,WEEKEND,2
90135,2023-03-04,LUNCH,BROCCOLI,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
90135,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
90135,2023-03-04,LUNCH,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
90135,2023-03-04,LUNCH,SALAD,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
92138,2023-03-04,LUNCH,PORTERHOUSE,MAIN,MR,INCLUDED,98.0,Saturday,WEEKEND,1
92138,2023-03-04,LUNCH,CHATEAUBRIAND,MAIN,R,INCLUDED,98.0,Saturday,WEEKEND,1
92138,2023-03-04,LUNCH,RIBEYE ON BONE,MAIN,MR,PEPPER,60.0,Saturday,WEEKEND,1
92138,2023-03-04,LUNCH,OYSTERS,STARTER,Not Applicable,Not Applicable,18.0,Saturday,WEEKEND,1
92138,2023-03-04,LUNCH,BEEF TARTARE,STARTER,Not Applicable,Not Applicable,16.0,Saturday,WEEKEND,1
92138,2023-03-04,LUNCH,LAMBKIDNEY,STARTER,Not Applicable,Not Applicable,10.0,Saturday,WEEKEND,1
92138,2023-03-04,LUNCH,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
92138,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
94141,2023-03-04,LUNCH,OYSTERS,STARTER,Not Applicable,Not Applicable,18.0,Saturday,WEEKEND,1
94141,2023-03-04,LUNCH,CRAWNFISH,STARTER,Not Applicable,Not Applicable,14.0,Saturday,WEEKEND,1
94141,2023-03-04,LUNCH,CHARCUTERIE,STARTER,Not Applicable,Not Applicable,21.0,Saturday,WEEKEND,1
94141,2023-03-04,LUNCH,LUNCH SIRLOIN,MAIN,MR,BEARNAISE,24.0,Saturday,WEEKEND,1
94141,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,CHATEAUBRIAND,MAIN,M,INCLUDED,98.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,FILLET,MAIN,WD,PEPPER,44.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,MEDALLIONS,MAIN,WD,NON_P,32.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,CAESAR SALAD,STARTER,Not Applicable,Not Applicable,10.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,SOUP,STARTER,Not Applicable,Not Applicable,8.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,SPINACH,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
96144,2023-03-04,LUNCH,NON_P,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
98147,2023-03-04,LUNCH,FILLET,MAIN,WD,RED WINE JUS,44.0,Saturday,WEEKEND,2
98147,2023-03-04,LUNCH,FILLET,MAIN,MR,RED WINE JUS,44.0,Saturday,WEEKEND,2
98147,2023-03-04,LUNCH,CAJUN ONIONS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
98147,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
100150,2023-03-04,LUNCH,FILLET,MAIN,M,PEPPER,44.0,Saturday,WEEKEND,1
100150,2023-03-04,LUNCH,SIRLOIN,MAIN,M,PEPPER,42.0,Saturday,WEEKEND,1
100150,2023-03-04,LUNCH,ONION RINGS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
100150,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
100150,2023-03-04,LUNCH,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
102153,2023-03-04,LUNCH,SIRLOIN,MAIN,MW,PEPPER,42.0,Saturday,WEEKEND,1
102153,2023-03-04,LUNCH,FILLET,MAIN,MW,BEARNAISE,44.0,Saturday,WEEKEND,1
102153,2023-03-04,LUNCH,HADDOCK GRATIN,STARTER,Not Applicable,Not Applicable,16.0,Saturday,WEEKEND,1
102153,2023-03-04,LUNCH,SPINACH,EXTRA_SIDE,Not Applicable,Not Applicable,6.0,Saturday,WEEKEND,1
102153,2023-03-04,LUNCH,MUSHROOMS,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
102153,2023-03-04,LUNCH,MASH,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
102153,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
104156,2023-03-04,LUNCH,RIBEYE,MAIN,M,PEPPER,47.0,Saturday,WEEKEND,1
104156,2023-03-04,LUNCH,FILLET,MAIN,M,PEPPER,44.0,Saturday,WEEKEND,1
104156,2023-03-04,LUNCH,BROCCOLI,EXTRA_SIDE,Not Applicable,Not Applicable,7.0,Saturday,WEEKEND,1
104156,2023-03-04,LUNCH,CHIPS,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
106159,2023-03-04,LUNCH,PORTERHOUSE,MAIN,MR,INCLUDED,98.0,Saturday,WEEKEND,1
106159,2023-03-04,LUNCH,BEEF TARTARE,STARTER,Not Applicable,Not Applicable,16.0,Saturday,WEEKEND,1
106159,2023-03-04,LUNCH,RIB NUGGET,STARTER,Not Applicable,Not Applicable,12.0,Saturday,WEEKEND,1
106159,2023-03-04,LUNCH,INCLUDED,MAIN_SIDES,Not Applicable,Not Applicable,0.0,Saturday,WEEKEND,1
108162,2023-03-04,LUNCH,CHATEAUBRIAND,MAIN,M,INCLUDED,98.0,Saturday,WEEKEND,1
